episode,reward
0,-0.1605
5000,1.785
10000,4.433
15000,4.644
20000,1.393
25000,1.0225
30000,3.4955
35000,1.5905
40000,4.378
45000,1.76
50000,3.672
55000,3.3895
60000,1.3825
65000,6.2255
70000,4.133
75000,2.1885
80000,2.8255
85000,3.334
90000,1.6235
95000,2.6535
100000,2.411
105000,2.5815
110000,4.86
115000,4.3185
120000,2.6085
125000,3.692
130000,5.4635
135000,4.4305
140000,4.619
145000,3.0165
150000,2.986
155000,3.584
160000,3.379
165000,2.7885
170000,1.2965
175000,2.989
180000,2.2635
185000,3.3035
190000,3.56
195000,3.7005
200000,3.283
205000,3.1815
210000,5.4465
215000,5.0995
220000,1.3775
225000,6.2995
230000,3.1275
235000,5.2605
240000,2.9275
245000,2.541
250000,4.073
255000,4.01
260000,4.5755
265000,1.884
270000,2.1095
275000,4.5495
280000,2.6915
285000,0.931
290000,3.3275
295000,2.907
300000,3.8175
305000,4.1725
310000,4.6645
315000,1.913
320000,3.9985
325000,3.145
330000,6.391
335000,2.748
340000,4.438
345000,3.032
350000,4.5785
355000,3.658
360000,2.4935
365000,3.4215
370000,4.1975
375000,5.2115
380000,6.205
385000,4.1335
390000,3.734
395000,4.2665
400000,5.035
405000,5.3885
410000,3.926
415000,3.3845
420000,3.322
425000,6.578
430000,4.248
435000,4.2845
440000,5.368
445000,4.1805
450000,3.571
455000,4.842
460000,2.325
465000,2.6465
470000,4.367
475000,4.248
480000,4.3405
485000,4.1375
490000,3.613
495000,3.744
