episode,reward
0,7.65
500,-2.434
1000,5.122
1500,-4.214
2000,1.9
2500,-2.772
3000,-3.4
3500,1.416
4000,3.4
4500,-2.354
5000,0.596
5500,1.114
6000,2.086
6500,-3.832
7000,-3.45
7500,-6.97
8000,-1.184
8500,-2.948
9000,0.256
9500,1.744
10000,0.13
10500,3.538
11000,-0.782
11500,-1.782
12000,-2.014
12500,-0.692
13000,-2.658
13500,1.256
14000,-1.612
14500,-3.704
15000,-2.742
15500,-0.894
16000,-3.064
16500,-0.834
17000,-7.158
17500,-2.12
18000,-2.668
18500,-0.894
19000,0.77
19500,-0.906
20000,-2.178
20500,2.378
21000,-1.606
21500,-7.18
22000,-2.858
22500,-4.968
23000,-4.928
23500,-2.522
24000,-2.696
24500,-2.886
25000,-6.436
25500,-2.928
26000,-0.692
26500,-1.868
27000,-2.156
27500,-4.372
28000,-5.022
28500,0.276
29000,-6.208
29500,-1.696
30000,-1.502
30500,0.202
31000,-3.342
31500,-3.388
32000,-4.262
32500,-3.702
33000,-5.796
33500,-2.744
34000,-5.072
34500,-3.142
35000,-2.096
35500,-4.012
36000,-1.774
36500,-1.098
37000,-1.978
37500,-6.378
38000,-9.386
38500,-2.466
39000,0.074
39500,-4.814
40000,-1.7
40500,-6.542
41000,-2.992
41500,-8.92
42000,-4.31
42500,-5.902
43000,-8.222
43500,-7.8
44000,-3.874
44500,-3.496
45000,-2.4
45500,-6.914
46000,-8.128
46500,-3.892
47000,0.872
47500,-3.354
48000,-4.292
48500,-5.904
49000,-5.062
49500,-6.032
50000,-3.33
50500,-5.278
51000,-3.818
51500,-4.252
52000,-3.916
52500,-5.35
53000,-3.782
53500,-5.632
54000,-4.76
54500,-1.628
55000,-3.126
55500,-4.04
56000,-11.93
56500,-7.794
57000,-3.298
57500,-4.074
58000,-3.534
58500,-2.184
59000,-5.876
59500,-1.606
60000,-2.24
60500,-6.456
61000,2.356
61500,-7.888
62000,-2.208
62500,-1.354
63000,-4.246
63500,-2.878
64000,-0.66
64500,-2.686
65000,-8.276
65500,-4.192
66000,-6.578
66500,-4.684
67000,-3.024
67500,-5.908
68000,-4.67
68500,-1.672
69000,-2.726
69500,-4.33
70000,-9.73
70500,-4.038
71000,-5.766
71500,-4.274
72000,-5.408
72500,-3.368
73000,-7.024
73500,-2.94
74000,-3.678
74500,-6.594
75000,-6.754
75500,-1.734
76000,-2.652
76500,-2.052
77000,-4.624
77500,-5.726
78000,-6.88
78500,-2.77
79000,-7.764
79500,-8.968
80000,-5.124
80500,-7.194
81000,0.1
81500,-2.852
82000,-9.904
82500,-8.236
83000,-11.968
83500,-4.926
84000,-3.858
84500,-10.69
85000,-3.968
85500,-0.064
86000,0.994
86500,-3.22
87000,-3.19
87500,-2.382
88000,-4.376
88500,-0.47
89000,-6.282
89500,-0.512
90000,-0.704
90500,-1.964
91000,-0.868
91500,-0.292
92000,-2.32
92500,0.14
93000,-2.568
93500,1.008
94000,-1.388
94500,-3.28
95000,-1.328
95500,0.356
96000,-1.688
96500,0.464
97000,-1.432
97500,-1.232
98000,-0.604
98500,-3.78
99000,-4.4
99500,-0.468
100000,-2.356
100500,-1.236
101000,-2.48
101500,-1.508
102000,-2.356
102500,-1.022
103000,-1.26
103500,-3.348
104000,-0.68
104500,0.056
105000,-0.384
105500,1.004
106000,-0.396
106500,-2.44
107000,-2.86
107500,0.44
108000,-1.476
108500,-1.584
109000,-1.212
109500,-0.412
110000,1.412
110500,-0.46
111000,-2.48
111500,-0.596
112000,1.768
112500,0.324
113000,-0.024
113500,0.96
114000,0.62
114500,-1.328
115000,-0.36
115500,-1.008
116000,1.144
116500,0.572
117000,0.6
117500,0.748
118000,-0.908
118500,0.36
119000,0.852
119500,-0.928
120000,0.276
120500,-1.38
121000,-0.84
121500,2.172
122000,-0.776
122500,0.132
123000,-0.988
123500,0.06
124000,-0.024
124500,-1.16
125000,-0.624
125500,0.32
126000,-1.108
126500,-0.276
127000,-0.02
127500,-0.092
128000,0.932
128500,-0.116
129000,-0.904
129500,1.076
