episode,reward
0,0.713
500,1.1
1000,1.142
1500,1.115
2000,1.356
2500,1.225
3000,1.382
3500,1.271
4000,1.102
4500,1.296
5000,1.232
5500,1.191
6000,1.205
6500,1.281
7000,1.07
7500,1.056
8000,1.263
8500,1.217
9000,1.155
9500,1.265
10000,1.171
10500,1.368
11000,1.121
11500,1.166
12000,1.405
12500,1.318
13000,1.177
13500,1.342
14000,1.075
14500,1.237
15000,1.353
15500,1.078
16000,1.272
16500,1.04
17000,1.269
17500,1.164
18000,1.031
18500,1.042
19000,1.394
19500,1.372
20000,1.197
20500,1.446
21000,1.203
21500,1.339
22000,1.303
22500,1.284
23000,1.324
23500,1.292
24000,1.115
24500,0.995
25000,1.036
25500,1.177
26000,1.14
26500,1.308
27000,1.189
27500,1.248
28000,1.206
28500,1.249
29000,1.099
29500,1.425
30000,1.265
30500,1.128
31000,1.145
31500,1.218
32000,1.333
32500,0.864
33000,1.317
33500,1.395
34000,1.259
34500,1.126
35000,1.021
35500,0.924
36000,1.244
36500,1.19
37000,1.3
37500,1.143
38000,1.219
38500,1.174
39000,1.394
39500,1.291
40000,1.239
40500,1.166
41000,1.252
41500,1.432
42000,0.98
42500,1.308
43000,1.294
43500,1.527
44000,1.173
44500,1.368
45000,1.002
45500,1.207
46000,1.415
46500,1.23
47000,1.294
47500,1.149
48000,1.088
48500,1.317
49000,1.188
49500,1.1
