episode,reward
0,7.236
500,5.422
1000,0.904
1500,-0.008
2000,6.04
2500,0.4
3000,4.932
3500,3.73
4000,0.15
4500,3.73
5000,-1.434
5500,-2.852
6000,0.806
6500,1.964
7000,3.224
7500,3.886
8000,6.012
8500,-5.322
9000,7.04
9500,1.376
10000,4.716
10500,6.596
11000,9.558
11500,3.334
12000,5.62
12500,4.97
13000,3.652
13500,2.946
14000,8.392
14500,7.938
15000,5.872
15500,2.888
16000,-2.248
16500,7.376
17000,1.078
17500,3.696
18000,4.13
18500,0.736
19000,8.856
19500,3.762
20000,3.844
20500,3.092
21000,6.284
21500,7.87
22000,6.886
22500,4.438
23000,2.634
23500,7.152
24000,6.648
24500,4.422
25000,1.75
25500,9.742
26000,7.868
26500,2.716
27000,9.658
27500,6.222
28000,2.88
28500,5.358
29000,-1.222
29500,5.982
30000,1.852
30500,5.19
31000,7.114
31500,9.594
32000,7.198
32500,3.596
33000,5.864
33500,5.496
34000,4.73
34500,6.646
35000,2.476
35500,1.666
36000,2.144
36500,4.564
37000,7.116
37500,1.552
38000,6.97
38500,7.454
39000,6.874
39500,3.234
40000,4.78
40500,8.232
41000,5.018
41500,9.984
42000,10.418
42500,6.216
43000,4.548
43500,4.256
44000,9.88
44500,0.734
45000,7.37
45500,5.55
46000,8.056
46500,6.426
47000,-0.33
47500,4.718
48000,7.922
48500,6.744
49000,4.904
49500,5.838
50000,6.438
50500,4.544
51000,8.948
51500,6.278
52000,3.914
52500,6.252
53000,6.416
53500,4.736
54000,0.7
54500,2.462
55000,7.986
55500,7.97
56000,5.722
56500,5.164
57000,6.506
57500,6.762
58000,6.184
58500,3.468
59000,7.628
59500,8.75
60000,7.74
60500,5.784
61000,4.882
61500,4.588
62000,8.382
62500,8.938
63000,5.676
63500,2.534
64000,4.678
64500,14.416
