episode,reward
0,4.5815
100,-2.4315
200,0.582
300,-1.605
400,1.283
500,2.455
600,0.997
700,0.3165
800,1.065
900,0.304
1000,1.8735
1100,2.873
1200,1.1475
1300,2.1285
1400,2.7385
1500,1.6085
1600,3.4755
1700,2.78
1800,1.011
1900,0.3375
2000,1.562
2100,1.9175
2200,0.7055
2300,2.499
2400,2.763
2500,3.477
2600,1.8055
2700,2.397
2800,0.738
2900,2.4805
3000,4.263
3100,3.2995
3200,2.0525
3300,4.684
3400,-0.4475
3500,2.933
3600,1.958
3700,3.564
3800,4.57
3900,-0.056
4000,3.8735
4100,4.5345
4200,1.87
4300,4.203
4400,3.9005
4500,6.022
4600,1.1325
4700,2.8195
4800,4.3225
4900,2.899
