episode,reward
0,1.9315
100,1.8565
200,0.5745
300,1.441
400,-0.2285
500,0.1095
600,-3.1125
700,2.2045
800,-1.8215
900,-1.636
1000,-0.99
1100,-0.0005
1200,-2.4975
1300,-1.551
1400,-0.851
1500,-1.9195
1600,1.8655
1700,-0.848
1800,1.1555
1900,-4.3655
2000,-0.2055
2100,0.557
2200,-2.282
2300,-2.8285
2400,-0.658
2500,1.9555
2600,-1.27
2700,0.6335
2800,-2.27
2900,1.7075
3000,0.0295
3100,-1.544
3200,-2.392
3300,4.3235
3400,-2.137
3500,3.647
3600,1.342
3700,0.8445
3800,0.0565
3900,0.392
4000,0.8
4100,2.7245
4200,-1.7425
4300,-0.499
4400,0.7355
4500,-0.0325
4600,-2.293
4700,-0.4625
4800,-0.172
4900,1.0155
